orf_name_id,orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree
106,PHF5A,48,0.3702901058781888,0.19318245967906308,0.6622340425531915,0.050625856788552505,0.48963133640552997,0.0057473488901881725,93.66666666666667
107,PLOD2,7,0.16564317759503996,0.3014212629012399,0.2857142857142857,0.004301309592682754,0.4224652087475149,0.007454304345933024,66.0
108,PRMT1,25,0.10190516397011153,0.07783407499917519,0.30666666666666664,0.01937802645938115,0.4947613504074505,0.004070715476100748,79.76
109,RANGAP1,11,0.047714132890641595,0.1072029784490083,0.2545454545454545,0.006186208496934957,0.4579741379310345,0.006081688767990687,67.36363636363636
110,RPL18A,104,1.6857941101064509,0.20425354469144805,0.5567587752053772,0.10750441618696867,0.5462724935732648,0.0054937030906723324,83.33653846153847
111,RPL21,94,1.359747304737945,0.2378595323048178,0.6700983756577442,0.10678843486600456,0.5345911949685535,0.005653082318986961,91.05319148936171
112,RPL30,87,1.18934694115589,0.23438476412389028,0.6642608928094093,0.09550274742138079,0.5182926829268293,0.005647913721798825,87.183908045977
113,RPL32,66,0.7018331561771711,0.26354685746734713,0.8657342657342657,0.08198237218517353,0.5,0.0057338500084119365,97.3030303030303
114,RPL35A,83,1.0864107791505981,0.2481048664083739,0.7264178665883044,0.09721014807024506,0.5164034021871203,0.005715277265508659,93.18072289156626
115,RPN1,62,0.5847416586290524,0.14635936061235427,0.5478582760444209,0.061550512559120064,0.5164034021871203,0.0054717477320491165,85.59677419354838
116,RPS11,83,1.0641306943430848,0.23053948018466658,0.694975022039377,0.09502613759108362,0.525990099009901,0.005714313554862509,93.51807228915662
117,RPS16,84,1.0870906567086542,0.23647489254894366,0.7068273092369478,0.09589101663377632,0.5292652552926526,0.005684856344224649,92.1547619047619
118,RPS25,59,0.5448119484572137,0.22235267546683848,0.7311513734658095,0.06795897763855216,0.5017709563164109,0.0056813749690414785,93.40677966101696
119,RPS29,65,0.7023470810529062,0.25454083522926635,0.8826923076923077,0.08081548658969981,0.4947613504074505,0.0057798275274887016,97.0
120,SMC2,14,0.3121837656169772,0.10166973546403528,0.45054945054945056,0.010741194420198852,0.4624591947769314,0.006753975008861378,83.92857142857143
121,SNRPD1,54,0.48389315392568677,0.13654997778087272,0.4640111809923131,0.04168125494004705,0.5114320096269555,0.005823852738681837,78.07407407407408
122,SNRPD2,57,0.571360001710109,0.1332817255589178,0.4699248120300752,0.04133133761565781,0.5120481927710844,0.005704929356726643,75.56140350877193
123,SSB,17,0.05786626456046225,0.10704282452646342,0.5073529411764706,0.0170250265584025,0.46600877192982454,0.005807032646223766,101.88235294117646
124,YAP1,46,0.4783834616055709,0.06294070125920818,0.2743961352657005,0.03468367662973691,0.49707602339181284,0.005067050371606756,66.91304347826087
125,ABCF2,12,0.060286007671207724,0.09109217756724852,0.3939393939393939,0.009057426680468168,0.4521276595744681,0.001863031129576703,77.75
126,ABCF3,5,0.013287057206004057,0.28483799968437107,0.6,0.00339803817150579,0.4284274193548387,0.005375628157394095,90.4
127,CDK9,109,1.764825471835257,0.09131736889762437,0.2854230377166157,0.08203055796174077,0.5512321660181583,0.005366806402784332,66.5137614678899
128,DDX3X,106,1.6547845645837285,0.1683581963848178,0.44564240790655885,0.08818657063588081,0.556282722513089,0.0055828737928267655,79.27358490566037
129,DKC1,30,0.14352734574902118,0.1299886800459585,0.4482758620689655,0.02482131139963801,0.4786036036036036,0.004063600041255961,73.16666666666667
130,FBXO7,44,0.47667421593540726,0.085252938364331,0.3488372093023256,0.03631390477470212,0.492468134414832,0.004194443347711621,70.86363636363636
131,FUS,46,0.3561202633944447,0.09957439539542351,0.4,0.03917639138065163,0.5071599045346062,0.005505019569721966,82.17391304347827
132,ILK,32,0.5417914225107545,0.04552404275927834,0.11088709677419355,0.013480328028852444,0.4738015607580825,0.0032579631458093256,42.9375
133,MOV10,152,3.0736728270390072,0.05378073464637615,0.2430289299407459,0.09895183048980696,0.5969101123595506,0.003808692350782548,60.98684210526316
134,CDC5L,178,5.65410573299777,0.0264141296486518,0.147781374976195,0.07966506343350441,0.6213450292397661,0.007278360738176741,44.342696629213485
135,HSPA5,66,0.7818058447036476,0.055705374881442345,0.2717948717948718,0.04381180030378618,0.5379746835443038,0.004803831798588877,66.77272727272727
136,ABI2,6,0.05776228850928273,0.38011047247455737,0.0,0.0023739859717381464,0.41262135922330095,-0.0019963301975476373,58.5
137,ENO1,53,0.8206846434186121,0.03857706765973868,0.31204644412191584,0.03703548691657646,0.5071599045346062,0.0031789628672812265,64.52830188679245
138,MRPL44,44,0.5712796521098124,0.31252972706987914,0.7008456659619451,0.022384529634208006,0.4796839729119639,0.005639974580961639,60.84090909090909
139,KHDRBS1,18,0.12439522189813518,0.0610893356493607,0.3006535947712418,0.011203569366468985,0.48295454545454547,0.00487891209874655,71.61111111111111
140,SDCBP,5,0.12588701675011701,0.590576295586978,0.0,0.0024653102053907956,0.3960857409133271,0.005103676981861616,52.2
141,NOC2L,12,0.023285401454923565,0.11491893895465989,0.6666666666666666,0.009257151790166354,0.443169968717414,0.0018550507642493613,77.5
142,POLD1,13,0.05518473182922922,0.10192141924093077,0.3333333333333333,0.00706752716309428,0.43103448275862066,0.006238499717104912,57.46153846153846
143,ACAA2,10,0.03936368927082099,0.1196955631014418,0.35555555555555557,0.005222240698854572,0.44549266247379454,0.006271021012987805,63.2
144,ALDOA,24,1.0325117997339688,0.14765306008936702,0.2246376811594203,0.009673181840718213,0.46909492273730685,0.005438505594289014,46.166666666666664
145,HNRNPA1,232,7.689410618945434,0.058471887370742964,0.19536497984773846,0.14458998356472075,0.6746031746031746,0.006841870679258229,55.68103448275862
146,HSPD1,109,1.7051733703413379,0.10413794382527665,0.3054706082229018,0.07431261837841531,0.571236559139785,0.004695085374913219,66.8440366972477
147,MSN,18,0.22831883521277546,0.08384035343159989,0.20261437908496732,0.007767095023232341,0.4564983888292159,0.0055425929990472,47.388888888888886
148,P4HB,22,0.144548809435475,0.06133339866722887,0.30303030303030304,0.013083791171372565,0.48350398179749715,0.005677495517238932,66.77272727272727
149,TAF15,17,0.05897872662696347,0.11205094665472205,0.5808823529411765,0.01732107546602023,0.46397379912663755,0.005887857765581536,102.94117647058823
